Grades
38
66
52
47
51
55
32
67
64
65
60
74
42
34
69
58
57
89
78
82
69
71
41
75
97
50
17
60
78
84
13
35
80
69
79
53
56
27
60
65
76
49
79
53
43
81
64
48
51
58
28
40
47
59
25
66
56
67
79
74
61
63
56
91
89
76
74
92
70
64
62
84
72
79
71
94
58
68
75
50
83
62
40
67
46
76
77
53
37
55
51
55
62
59
71
60
73
63
71
66
54
